Label,Left,Top,Right,Bottom,Filename
car,483,404,808,634,0273.jpg
car,570,442,730,594,0273.jpg
car,490,410,811,637,0267.jpg
car,570,443,732,601,0267.jpg
car,1093,436,1214,634,0267.jpg
car,580,432,726,622,0461.jpg
car,493,394,818,660,0461.jpg
car,549,427,703,609,0475.jpg
car,462,378,779,603,0475.jpg
truck,14,306,301,448,0449.jpg
car,93,333,223,428,0449.jpg
car,559,423,697,623,0139.jpg
car,455,399,799,646,0139.jpg
car,406,334,440,361,0139.jpg
car,846,336,881,371,0139.jpg
car,559,415,698,629,0138.jpg
car,456,385,801,654,0138.jpg
car,101,347,231,435,0448.jpg
car,14,334,318,447,0448.jpg
car,585,435,745,609,0448.jpg
car,555,437,706,621,0474.jpg
car,447,408,806,650,0474.jpg
car,487,388,831,661,0460.jpg
car,579,436,733,618,0460.jpg
car,490,414,812,630,0266.jpg
car,574,446,734,597,0266.jpg
car,540,432,692,621,0500.jpg
car,344,350,392,376,0500.jpg
car,484,402,812,639,0272.jpg
car,568,443,731,596,0272.jpg
car,572,439,732,595,0264.jpg
car,493,409,807,628,0264.jpg
car,482,404,813,637,0270.jpg
car,568,439,729,596,0270.jpg
car,572,444,739,592,0258.jpg
car,490,409,814,632,0258.jpg
car,936,356,1279,610,0258.jpg
car,557,426,699,610,0476.jpg
car,458,377,782,606,0476.jpg
car,575,436,725,620,0462.jpg
car,489,398,817,659,0462.jpg
car,575,435,726,630,0463.jpg
car,554,432,698,615,0477.jpg
car,449,404,792,640,0477.jpg
car,488,412,807,631,0259.jpg
car,568,445,736,592,0259.jpg
car,972,355,1279,609,0259.jpg
car,487,403,815,643,0271.jpg
car,568,441,733,599,0271.jpg
car,570,446,737,599,0265.jpg
car,488,414,819,636,0265.jpg
car,923,373,1279,571,0249.jpg
car,569,442,738,595,0249.jpg
car,1019,402,1173,552,0249.jpg
car,485,406,826,637,0249.jpg
car,571,440,729,595,0261.jpg
car,997,364,1276,587,0261.jpg
car,485,410,800,626,0261.jpg
car,485,408,804,633,0275.jpg
car,568,440,730,600,0275.jpg
truck,481,422,831,647,0329.jpg
truck,574,445,731,615,0329.jpg
car,556,432,707,621,0473.jpg
car,455,403,804,649,0473.jpg
car,570,442,728,622,0467.jpg
car,538,429,690,624,0498.jpg
car,540,428,686,619,0499.jpg
car,564,449,730,621,0466.jpg
car,475,416,833,656,0466.jpg
car,569,441,723,612,0472.jpg
car,484,422,818,650,0328.jpg
car,486,410,807,630,0274.jpg
car,569,443,733,598,0274.jpg
car,487,408,803,631,0260.jpg
car,569,444,730,594,0260.jpg
car,570,442,742,596,0248.jpg
car,923,371,1279,569,0248.jpg
car,1014,399,1177,548,0248.jpg
car,482,407,827,632,0248.jpg
car,488,412,811,634,0276.jpg
car,569,440,735,602,0276.jpg
bus,959,34,1265,474,0262.jpg
car,569,442,732,596,0262.jpg
car,482,410,814,634,0262.jpg
car,481,399,812,636,0289.jpg
car,573,437,731,633,0464.jpg
car,484,401,828,665,0464.jpg
car,572,438,722,613,0470.jpg
car,479,405,812,647,0470.jpg
car,534,410,682,649,0128.jpg
car,883,317,918,351,0128.jpg
car,537,414,683,644,0129.jpg
car,568,441,727,610,0471.jpg
car,570,441,728,620,0465.jpg
car,490,399,818,653,0465.jpg
car,587,439,736,621,0459.jpg
car,495,401,831,659,0459.jpg
car,478,396,815,642,0288.jpg
car,487,410,809,629,0263.jpg
car,569,442,728,596,0263.jpg
car,482,406,814,640,0277.jpg
car,568,442,739,602,0277.jpg
trafficlight,1007,66,1026,129,0210.jpg
car,541,427,698,612,0210.jpg
car,434,401,797,639,0210.jpg
car,991,349,1267,479,0210.jpg
car,1055,352,1175,450,0210.jpg
car,1003,313,1265,470,0204.jpg
car,1059,331,1184,439,0204.jpg
car,570,425,720,611,0204.jpg
car,464,402,821,644,0204.jpg
car,884,359,1241,540,0238.jpg
car,480,396,843,644,0238.jpg
car,989,379,1146,509,0238.jpg
car,585,436,754,597,0238.jpg
car,574,436,732,620,0364.jpg
car,552,442,705,617,0402.jpg
person,1010,344,1031,382,0402.jpg
